datetime,download_speed,upload_speed,ping
2024-07-04 23:27,53.13,10.82,36
2024-07-04 23:35,23.48,10.81,34
2024-07-04 23:40,35.73,10.41,35
2024-07-04 23:45,39.79,10.56,39
2024-07-04 23:50,44.69,10.54,40
2024-07-04 23:55,45.09,11.75,36
2024-07-04 23:58,40.46,10.87,37
2024-07-05 00:07,45.84,10.92,36
2024-07-05 00:10,39.97,10.87,45
2024-07-05 00:15,52.84,11.82,36
2024-07-05 00:20,50.98,10.58,35
2024-07-05 00:25,54.78,11.76,36
2024-07-05 00:27,55.72,11.05,34
2024-07-05 00:35,54.30,11.34,34
2024-07-05 00:40,55.87,10.55,36
2024-07-05 00:45,48.09,10.57,34
2024-07-05 00:50,10.87,10.60,35
2024-07-05 00:55,55.70,11.67,36
2024-07-05 00:58,54.99,10.62,35
2024-07-05 01:07,55.33,10.68,37
2024-07-05 01:10,21.15,10.41,36
2024-07-05 01:15,55.10,10.63,35
2024-07-05 01:20,55.18,11.40,36
2024-07-05 01:25,49.56,11.49,35
2024-07-05 01:27,55.99,11.71,34
2024-07-05 01:35,55.91,12.04,42
2024-07-05 01:40,47.43,11.86,42
2024-07-05 01:45,55.37,10.93,41
2024-07-05 01:50,51.29,10.35,45
2024-07-05 01:55,15.77,7.30,46
2024-07-05 01:58,52.70,9.69,36
2024-07-05 02:07,12.96,10.38,36
2024-07-05 02:10,43.03,11.00,36
2024-07-05 02:15,49.04,10.36,33
2024-07-05 02:20,42.08,9.33,43
2024-07-05 02:25,12.74,10.10,39
2024-07-05 02:27,49.14,10.19,39
2024-07-05 02:35,50.28,10.12,35
2024-07-05 02:40,49.71,10.13,33
2024-07-05 02:45,52.62,10.09,35
2024-07-05 02:50,43.57,8.64,35
2024-07-05 02:55,21.47,9.96,35
2024-07-05 02:58,47.03,10.39,38
2024-07-05 03:07,20.50,10.83,36
2024-07-05 03:10,49.32,10.21,38
2024-07-05 03:15,22.31,8.80,35
2024-07-05 03:20,46.23,9.91,37
2024-07-05 03:25,51.29,9.96,37
2024-07-05 03:27,51.46,9.54,37
2024-07-05 03:35,53.50,9.47,35
2024-07-05 03:40,49.48,10.42,36
2024-07-05 03:45,47.92,10.04,37
2024-07-05 03:50,49.19,10.26,35
2024-07-05 03:55,29.76,9.78,53
2024-07-05 03:58,47.83,9.07,34
2024-07-05 04:07,23.92,10.06,36
2024-07-05 04:10,52.29,9.24,38
2024-07-05 04:15,41.57,10.26,34
2024-07-05 04:20,43.65,10.27,37
2024-07-05 04:25,21.37,10.28,43
2024-07-05 04:27,46.41,10.35,37
2024-07-05 04:35,50.56,10.05,37
2024-07-05 04:40,43.58,10.49,35
2024-07-05 04:45,48.21,10.00,40
2024-07-05 04:50,52.99,11.08,49
2024-07-05 04:55,18.12,11.06,39
2024-07-05 04:58,50.19,10.44,41
2024-07-05 05:07,17.29,10.76,40
2024-07-05 05:10,46.81,10.78,42
2024-07-05 05:15,47.50,10.67,42
2024-07-05 05:20,54.37,11.46,39
2024-07-05 05:25,49.43,10.42,42
2024-07-05 05:27,54.66,10.61,38
2024-07-05 05:35,52.59,10.42,41
2024-07-05 05:40,53.86,10.64,43
2024-07-05 05:45,52.35,11.07,41
2024-07-05 05:50,52.94,11.54,42
2024-07-05 05:55,49.37,11.57,43
2024-07-05 05:58,56.01,10.82,39
2024-07-05 06:07,51.36,10.45,41
2024-07-05 06:10,54.41,10.63,44
2024-07-05 06:15,54.81,10.57,43
2024-07-05 06:20,53.38,10.52,43
2024-07-05 06:25,52.18,10.62,41
2024-07-05 06:27,53.84,11.23,37
2024-07-05 06:35,53.42,11.21,37
2024-07-05 06:40,44.86,11.08,45
2024-07-05 06:45,55.42,11.61,46
2024-07-05 06:50,49.22,11.33,45
2024-07-05 06:55,52.34,10.60,39
2024-07-05 06:58,49.68,10.51,39
2024-07-05 07:07,41.73,11.47,41
2024-07-05 07:10,44.45,11.65,41
2024-07-05 07:15,45.17,11.07,40
2024-07-05 07:20,55.08,11.06,45
2024-07-05 07:25,55.49,11.85,45
2024-07-05 07:27,55.32,11.28,42
2024-07-05 07:35,47.87,11.59,46
2024-07-05 07:40,55.78,10.45,39
2024-07-05 07:45,34.58,11.41,45
2024-07-05 07:50,37.96,11.59,48
2024-07-05 07:55,44.85,10.44,41
2024-07-05 07:58,55.86,10.81,41
2024-07-05 08:07,55.54,11.18,44
2024-07-05 08:10,54.43,10.87,38
2024-07-05 08:15,55.63,11.33,43
2024-07-05 08:20,55.89,10.48,43
2024-07-05 08:25,56.35,10.43,49
2024-07-05 08:27,55.37,10.86,40
2024-07-05 08:35,49.85,11.37,47
2024-07-05 08:40,45.04,10.44,36
2024-07-05 08:45,53.87,10.49,36
2024-07-05 08:50,51.59,10.45,38
2024-07-05 08:55,54.96,11.24,37
2024-07-05 08:58,45.16,11.70,46
2024-07-05 09:07,49.79,10.26,71
2024-07-05 09:10,45.34,10.66,39
2024-07-05 09:15,41.01,12.06,49
2024-07-05 09:20,8.10,11.31,54
2024-07-05 09:25,47.34,10.75,40
2024-07-05 09:27,51.84,10.83,37
2024-07-05 09:35,50.79,11.62,49
2024-07-05 09:40,55.66,10.60,42
2024-07-05 09:45,47.30,10.49,40
2024-07-05 09:50,43.03,11.16,45
2024-07-05 09:55,32.36,11.54,39
2024-07-05 09:58,35.92,10.43,39
2024-07-05 10:07,21.24,10.70,54
2024-07-05 10:10,53.07,11.56,41
2024-07-05 10:15,44.97,10.57,71
2024-07-05 10:20,45.36,11.14,43
2024-07-05 10:25,51.04,11.61,37
2024-07-05 10:27,50.18,11.65,36
2024-07-05 10:35,45.08,10.81,47
2024-07-05 10:40,47.03,11.46,38
2024-07-05 10:45,44.94,11.08,37
2024-07-05 10:50,36.80,11.90,57
2024-07-05 10:55,36.17,11.58,47
2024-07-05 10:58,48.57,11.55,43
2024-07-05 11:07,38.79,10.58,43
2024-07-05 11:10,36.46,10.62,42
2024-07-05 11:15,51.49,10.51,48
2024-07-05 11:20,46.78,10.47,49
2024-07-05 11:25,42.07,11.88,47
2024-07-05 11:27,53.33,11.55,48
2024-07-05 11:35,42.63,11.27,46
2024-07-05 11:40,42.38,11.10,46
2024-07-05 11:45,37.04,11.19,56
2024-07-05 11:50,12.64,11.36,67
2024-07-05 11:55,28.96,11.43,48
2024-07-05 11:58,16.14,8.55,46
2024-07-05 12:07,49.69,11.60,50
2024-07-05 12:10,26.28,10.39,49
2024-07-05 12:15,43.47,11.67,47
2024-07-05 12:20,38.30,11.06,45
2024-07-05 12:25,22.35,11.01,42
2024-07-05 12:27,39.97,10.76,44
2024-07-05 12:35,10.72,11.46,45
2024-07-05 12:40,36.66,11.53,51
2024-07-05 12:45,6.49,11.71,50
2024-07-05 12:50,40.47,11.71,46
2024-07-05 12:55,15.75,11.30,50
2024-07-05 12:58,8.11,10.74,57
2024-07-05 13:07,12.88,10.26,45
2024-07-05 13:10,5.08,10.60,49
2024-07-05 13:15,14.72,10.47,46
2024-07-05 13:20,29.16,10.46,48
2024-07-05 13:25,21.92,10.49,44
2024-07-05 13:27,17.51,11.89,54
2024-07-05 13:35,12.15,12.03,47
2024-07-05 13:40,7.31,11.26,45
2024-07-05 13:45,10.77,10.44,58
2024-07-05 13:50,9.80,11.34,49
2024-07-05 13:55,9.13,10.54,54
2024-07-05 13:58,9.57,10.89,49
2024-07-05 14:07,15.99,10.75,39
2024-07-05 14:10,12.89,10.26,39
2024-07-05 14:15,3.21,9.82,43
2024-07-05 14:20,30.30,10.44,45
2024-07-05 14:25,9.14,8.96,218
2024-07-05 14:27,10.42,6.31,279
2024-07-05 14:35,7.81,11.22,62
2024-07-05 14:40,6.79,10.41,64
2024-07-05 14:45,1.45,6.34,50
2024-07-05 14:50,12.72,10.67,73
2024-07-05 14:55,2.15,10.52,63
2024-07-05 14:58,29.00,10.49,42
2024-07-05 15:07,3.36,11.10,38
2024-07-05 15:10,4.54,10.49,38
2024-07-05 15:15,6.22,10.73,39
2024-07-05 15:20,3.90,10.44,41
2024-07-05 15:25,3.79,10.91,41
2024-07-05 15:27,5.71,10.70,40
2024-07-05 15:35,5.56,11.12,43
2024-07-05 15:40,11.15,11.20,38
2024-07-05 15:45,4.77,11.47,38
2024-07-05 15:50,5.50,11.04,38
2024-07-05 15:55,7.86,10.47,43
2024-07-05 15:58,22.07,10.05,39
2024-07-05 16:07,14.29,11.09,62
2024-07-05 16:10,25.60,11.04,64
2024-07-05 16:15,3.89,10.98,46
2024-07-05 16:20,3.75,10.89,49
2024-07-05 16:25,12.94,12.05,46
2024-07-05 16:27,11.81,11.56,42
2024-07-05 16:35,9.83,9.84,40
2024-07-05 16:40,24.53,10.43,39
2024-07-05 16:45,36.97,11.20,41
2024-07-05 16:50,11.61,10.40,63
2024-07-05 16:55,4.62,3.24,69
2024-07-05 16:58,7.29,11.62,65
2024-07-05 17:07,8.66,11.13,70
2024-07-05 17:10,22.36,10.43,60
2024-07-05 17:15,20.31,11.20,74
2024-07-05 17:20,44.34,10.25,73
2024-07-05 17:25,40.40,10.18,59
2024-07-05 17:27,22.55,6.16,81
2024-07-05 17:35,25.78,10.54,58
2024-07-05 17:40,30.80,11.19,58
2024-07-05 17:45,25.11,10.43,58
2024-07-05 17:50,37.27,10.43,67
2024-07-05 17:55,24.81,10.51,63
2024-07-05 17:58,27.61,11.61,60
2024-07-05 18:07,8.80,6.59,66
2024-07-05 18:10,11.00,10.45,93
2024-07-05 18:15,7.76,9.84,145
2024-07-05 18:20,2.69,6.09,185
2024-07-05 18:25,12.66,9.72,181
2024-07-05 18:27,4.87,10.14,181
2024-07-05 18:35,1.81,10.14,216
2024-07-05 18:40,14.18,10.71,59
2024-07-05 18:45,31.37,10.51,159
2024-07-05 18:50,38.00,11.09,58
2024-07-05 18:55,39.41,10.94,69
2024-07-05 18:58,36.49,10.58,61
2024-07-05 19:07,4.19,10.28,81
2024-07-05 19:10,14.01,10.52,94
2024-07-05 19:15,19.43,10.74,145
2024-07-05 19:20,15.80,11.16,75
2024-07-05 19:25,11.03,7.64,58
2024-07-05 19:27,17.56,10.72,62
2024-07-05 19:35,3.10,9.41,187
2024-07-05 19:40,7.08,11.49,68
2024-07-05 19:45,5.37,10.58,60
2024-07-05 19:50,16.42,11.41,62
2024-07-05 19:55,8.95,11.20,45
2024-07-05 19:58,11.57,11.22,49
2024-07-05 20:07,9.20,11.73,65
2024-07-05 20:10,0.95,10.41,56
2024-07-05 20:15,21.83,11.60,46
2024-07-05 20:20,26.64,10.48,49
2024-07-05 20:25,6.90,11.03,51
2024-07-05 20:27,3.10,11.74,55
2024-07-05 20:35,21.33,11.34,46
2024-07-05 20:40,22.34,11.53,43
2024-07-05 20:45,5.23,0.00,47
2024-07-05 20:50,34.43,10.79,46
2024-07-05 20:55,3.75,11.02,48
2024-07-05 20:58,26.39,11.45,47
2024-07-05 21:07,8.16,11.59,47
2024-07-05 21:10,4.92,12.03,46
2024-07-05 21:15,6.55,11.20,47
2024-07-05 21:20,19.16,10.83,46
2024-07-05 21:25,33.14,10.58,46
2024-07-05 21:27,34.65,10.13,64
2024-07-05 21:35,15.63,10.37,49
2024-07-05 21:40,16.41,11.42,53
2024-07-05 21:45,12.23,10.51,45
2024-07-05 21:50,3.94,10.44,47
2024-07-05 21:55,10.91,10.56,48
2024-07-05 21:58,26.12,11.35,48
2024-07-05 22:07,14.17,9.68,66
2024-07-05 22:10,14.54,10.05,48
2024-07-05 22:15,30.04,8.69,47
2024-07-05 22:20,12.39,8.49,45
2024-07-05 22:25,33.23,11.61,47
2024-07-05 22:27,27.96,9.71,47
2024-07-05 22:35,11.55,10.41,46
2024-07-05 22:40,23.83,11.40,47
2024-07-05 22:45,11.36,11.09,45
2024-07-05 22:50,29.35,10.63,53
2024-07-05 22:55,22.79,10.52,37
2024-07-05 22:58,25.81,7.72,41
2024-07-05 23:07,15.56,11.39,55
2024-07-05 23:10,27.56,10.37,39
2024-07-05 23:15,13.21,9.04,49
2024-07-05 23:20,5.13,4.49,52
2024-07-05 23:25,8.93,11.75,38
2024-07-05 23:27,13.63,8.29,39
2024-07-05 23:35,15.62,10.68,48
2024-07-05 23:40,20.42,11.02,41
2024-07-05 23:45,11.94,10.27,62
2024-07-05 23:50,14.06,10.75,53
2024-07-05 23:55,24.60,11.58,43
2024-07-05 23:58,17.81,11.04,99
2024-07-06 00:07,18.90,9.78,46
2024-07-06 00:10,26.46,10.54,38
2024-07-06 00:15,36.09,10.45,40
2024-07-06 00:20,23.42,9.78,40
2024-07-06 00:25,53.22,10.57,45
2024-07-06 00:27,38.87,10.02,36
2024-07-06 00:35,55.38,9.82,42
2024-07-06 00:40,45.96,11.66,44
2024-07-06 00:45,40.10,8.72,46
2024-07-06 00:50,49.71,10.60,38
2024-07-06 00:55,54.86,10.59,35
2024-07-06 00:58,49.72,11.07,35
2024-07-06 01:07,45.92,10.45,44
2024-07-06 01:10,51.70,10.70,33
2024-07-06 01:15,50.75,11.26,69
2024-07-06 01:20,50.09,11.86,46
2024-07-06 01:25,46.89,10.55,37
2024-07-06 01:27,54.74,11.34,38
2024-07-06 01:35,45.97,11.02,79
2024-07-06 01:40,16.27,9.67,47
2024-07-06 01:45,43.06,10.67,53
2024-07-06 01:50,50.52,12.30,50
2024-07-06 01:55,47.95,10.57,46
2024-07-06 01:58,14.13,11.49,43
2024-07-06 02:07,52.08,11.03,46
2024-07-06 02:10,40.40,9.78,50
2024-07-06 02:15,49.77,11.62,46
2024-07-06 02:20,56.14,11.57,45
2024-07-06 02:25,46.83,10.46,46
2024-07-06 02:27,55.98,10.89,46
2024-07-06 02:35,21.88,11.55,46
2024-07-06 02:40,48.09,10.45,46
2024-07-06 02:45,53.99,10.79,46
2024-07-06 02:50,42.19,10.52,48
2024-07-06 02:55,51.10,10.76,47
2024-07-06 02:58,44.73,11.13,42
2024-07-06 03:07,49.98,9.73,48
2024-07-06 03:10,50.14,11.20,46
2024-07-06 03:15,18.17,10.34,46
2024-07-06 03:20,44.37,10.81,47
2024-07-06 03:25,55.98,10.44,43
2024-07-06 03:27,55.61,10.47,46
2024-07-06 03:35,54.79,11.24,50
2024-07-06 03:40,46.25,10.36,48
2024-07-06 03:45,54.37,11.28,44
2024-07-06 03:50,51.46,10.50,49
2024-07-06 03:55,55.08,10.51,46
2024-07-06 03:58,56.38,10.47,48
2024-07-06 04:07,54.31,10.66,46
2024-07-06 04:10,55.09,11.55,44
2024-07-06 04:15,55.99,11.81,48
2024-07-06 04:20,55.92,10.67,48
2024-07-06 04:25,55.48,10.75,45
2024-07-06 04:27,48.42,9.10,42
2024-07-06 04:35,54.07,10.59,49
2024-07-06 04:40,21.16,9.89,47
2024-07-06 04:45,47.00,10.36,48
2024-07-06 04:50,55.98,11.18,49
2024-07-06 04:55,56.59,11.61,37
2024-07-06 04:58,20.52,12.06,32
2024-07-06 05:07,54.78,10.45,33
2024-07-06 05:10,56.28,11.78,35
2024-07-06 05:15,55.37,11.54,34
2024-07-06 05:20,28.64,8.44,36
2024-07-06 05:25,52.55,11.49,37
2024-07-06 05:27,56.17,10.41,35
2024-07-06 05:35,55.27,10.98,41
2024-07-06 05:40,55.10,11.34,41
2024-07-06 05:45,56.48,10.69,38
2024-07-06 05:50,51.37,11.39,45
2024-07-06 05:55,54.92,10.90,35
2024-07-06 05:58,56.72,11.76,36
2024-07-06 06:07,56.36,10.86,35
2024-07-06 06:10,56.60,11.76,41
2024-07-06 06:15,55.56,10.91,35
2024-07-06 06:20,56.24,11.39,38
2024-07-06 06:25,56.67,10.42,46
2024-07-06 06:27,56.06,10.69,39
2024-07-06 06:35,56.13,11.86,34
2024-07-06 06:40,54.18,11.47,35
2024-07-06 06:45,56.13,11.91,33
2024-07-06 06:50,55.30,11.60,52
2024-07-06 06:55,56.61,10.55,35
2024-07-06 06:58,55.46,10.45,35
2024-07-06 07:07,48.08,10.80,36
2024-07-06 07:10,52.75,11.34,39
2024-07-06 07:15,44.70,11.54,36
2024-07-06 07:20,49.55,11.37,36
2024-07-06 07:25,51.96,11.49,52
2024-07-06 07:27,54.70,10.66,37
2024-07-06 07:35,56.12,10.59,34
2024-07-06 07:40,46.08,11.14,41
2024-07-06 07:45,45.44,11.74,44
2024-07-06 07:50,54.91,10.97,53
2024-07-06 07:55,50.84,11.58,48
2024-07-06 07:58,55.20,10.45,47
2024-07-06 08:07,52.83,10.55,48
2024-07-06 08:10,36.10,10.57,47
2024-07-06 08:15,48.31,10.50,50
2024-07-06 08:20,52.35,11.64,52
2024-07-06 08:25,44.02,10.46,51
2024-07-06 08:27,50.99,10.53,51
2024-07-06 08:35,47.60,11.25,48
2024-07-06 08:40,38.61,10.45,51
2024-07-06 08:45,45.87,11.14,44
2024-07-06 08:50,51.54,10.42,52
2024-07-06 08:55,52.06,10.13,51
